id,drug9,drug10,drug
101860|52ZA60|JN602006,S,R,D4T_SIR
101868|60ZA60|JN602022,S,R,D4T_SIR
103145|135925|JN669553,S,R,D4T_SIR
103155|137292|JN669563,S,R,D4T_SIR
103195|141686|JN669603,S,R,D4T_SIR
103213|142720|JN669621,S,R,D4T_SIR
103287|147664|JN669695,S,R,D4T_SIR
103582|160702|JN669990,S,R,D4T_SIR
103662|163801|JN670070,S,R,D4T_SIR
103687|165323|JN670095,S,R,D4T_SIR
103719|166443|JN670127,I,R,D4T_SIR
103750|167699|JN670158,S,R,D4T_SIR
103910|173237|JN670318,S,R,D4T_SIR
103929|173616|JN670337,S,R,D4T_SIR
103931|173626|JN670339,S,R,D4T_SIR
104113|179649|JN670521,S,R,D4T_SIR
104173|181706|JN670581,S,R,D4T_SIR
104196|182203|JN670604,S,R,D4T_SIR
104275|184574|JN670683,S,R,D4T_SIR
104380|190101|JN670788,S,R,D4T_SIR
104445|192497|JN670853,S,R,D4T_SIR
104524|194388|JN670932,S,R,D4T_SIR
104542|194823|JN670950,S,R,D4T_SIR
104550|194994|JN670958,S,R,D4T_SIR
104575|195479|JN670983,S,R,D4T_SIR
104717|198599|JN671125,S,R,D4T_SIR
104799|200833|JN671207,S,R,D4T_SIR
104889|203090|JN671297,S,R,D4T_SIR
104921|204164|JN671329,S,R,D4T_SIR
104936|204529|JN671344,S,R,D4T_SIR
104947|205344|JN671355,I,R,D4T_SIR
105009|206936|JN671417,S,R,D4T_SIR
105024|207428|JN671432,S,R,D4T_SIR
106673|J52_PR_RT|JN010442,S,R,D4T_SIR
107432|SP26-78090|EU342752,S,R,D4T_SIR
111938|KH037|KC533597,S,R,D4T_SIR
111948|KH038|KC533607,S,R,D4T_SIR
111979|KH0241|KC533643,I,R,D4T_SIR
1134|CA37691|AY800757,S,R,D4T_SIR
114032|4656-N883LM|HQ158184,S,R,D4T_SIR
115220|2598|KC423753,I,R,D4T_SIR
115262|1875|KC423475,S,R,D4T_SIR
115494|2984|KC423919,S,R,D4T_SIR
115794|1756|KC423381,S,R,D4T_SIR
